target,block,rung,learner,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,test_mse
lcr,Long-context,v_kfac_cov,elasticnet,0.401948711242739,0.453290006305551,0.2838573394623872,0.3072928850355148,0.8384372335303012,0.803682602825639,0.20547182981648648
lcr,Long-context,v_kfac_cov,rf,0.2067516145132083,0.5018560889546426,0.14388649396055717,0.346962625994165,0.9572537698961817,0.759361620438767,0.2518595340208502
lcr,Long-context,v_kfac_cov,gbm,0.11364867513953497,0.5390604125484686,0.0766188620754471,0.37657074391566936,0.9870839786390284,0.7223604207502152,0.2905861283769251
scicode,Scientific-coding,i_date,ridge,0.8728742495890871,0.8956571829537672,0.6560061679203169,0.6729064913911881,0.23809054440428812,0.20630648221948888,0.802201789376678
scicode,Scientific-coding,i_date,elasticnet,0.8729682786660253,0.8957722999684181,0.6566423407810583,0.6723745457393967,0.23792638444287684,0.20610244544804912,0.8024080133907097
scicode,Scientific-coding,i_date,rf,0.6581889820671515,0.8940478104039806,0.5042483541989217,0.6610448043370155,0.566787263885407,0.20915623539529404,0.799321487288152
scicode,Scientific-coding,i_date,gbm,0.4889351908825245,0.9232612876622265,0.3899009239954825,0.6796254288028577,0.7609423791166693,0.1566293969612378,0.8524114052957125
scicode,Scientific-coding,ii_meanidx,ridge,0.4388529527862988,0.4439309699818381,0.3302245878121542,0.3315199077469052,0.8074080858307465,0.8050154975610773,0.19707470610901565
scicode,Scientific-coding,ii_meanidx,elasticnet,0.4401012573986069,0.44480113389108544,0.3283429856003166,0.32926208114077155,0.8063108832361652,0.8042503571460541,0.19784804871079534
scicode,Scientific-coding,ii_meanidx,rf,0.31175620194713133,0.40253452090015646,0.2431891002898964,0.3170399622739719,0.9028080705474995,0.8396845166382453,0.1620340405163185
scicode,Scientific-coding,ii_meanidx,gbm,0.2097935670195644,0.44757311700429364,0.16807057627499092,0.36419168420982145,0.9559866592372075,0.8018029466533764,0.20032169506493913
scicode,Scientific-coding,iii_f1,ridge,0.9846981853705635,0.9946140593351689,0.7544729582109791,0.7587694019353588,0.030369483727919366,0.021235081325694183,0.9892571270271829
scicode,Scientific-coding,iii_f1,elasticnet,0.9857597020154868,0.9987558039952997,0.7565907815021907,0.7640187082760114,0.028277809882338634,0.013066617011033066,0.9975131560142975
scicode,Scientific-coding,iii_f1,rf,0.7717996502385557,1.0405332933442761,0.5914755961132847,0.8163746107715149,0.4043252998916431,-0.07122615605914628,1.0827095345578852
scicode,Scientific-coding,iii_f1,gbm,0.5374704838305194,1.1125279380613944,0.4170680499563216,0.8678283564136153,0.7111254790109873,-0.22459098722892823,1.2377184129671377
scicode,Scientific-coding,iv_kfac,ridge,0.41439785055294914,0.4437011675094732,0.31654745483206853,0.33715663136815394,0.8282744214570956,0.8052173141779446,0.1968707260492696
scicode,Scientific-coding,iv_kfac,elasticnet,0.419174061659299,0.4473259454838282,0.3174087442516203,0.33889851211043426,0.8242931060320462,0.8020217942034692,0.20010050150300085
scicode,Scientific-coding,iv_kfac,rf,0.3361243753371306,0.6681022601939499,0.23753203399974762,0.49474928348931163,0.8870204043042238,0.5583735372128362,0.4463606300762644
scicode,Scientific-coding,iv_kfac,gbm,0.18190787924616397,0.6973762495804983,0.13270347533670168,0.5061178746306552,0.9669095234681631,0.518824493434723,0.48633363347896147
scicode,Scientific-coding,v_kfac_cov,ridge,0.33172710184626925,0.37099468879029535,0.2645276991461784,0.2879670145360586,0.8899571299006749,0.8638227400273627,0.13763705911060808
scicode,Scientific-coding,v_kfac_cov,elasticnet,0.3415978025696113,0.37289585307040163,0.26787484516925825,0.2877852490381221,0.8833109412796128,0.8624234817330884,0.13905131723710257
scicode,Scientific-coding,v_kfac_cov,rf,0.20788606616234528,0.5595289655056409,0.1519523968119726,0.4030755304432628,0.956783383495545,0.6902478320313951,0.31307266323981264
scicode,Scientific-coding,v_kfac_cov,gbm,0.10805375886239635,0.5051082508268792,0.07487959022426861,0.3877093177855994,0.9883243851957071,0.7475716477902703,0.25513434505338944
critpt,Scientific-coding,i_date,ridge,0.8927454939317868,0.8986026549912345,0.6295854542320048,0.6384102227034201,0.20300548306449007,0.19702830849646724,0.8074867315572957
critpt,Scientific-coding,i_date,elasticnet,0.8924412491525284,0.8985158114011649,0.6305320933110395,0.6393541994137583,0.20354861681107483,0.19718350406467366,0.8073306633378937
critpt,Scientific-coding,i_date,rf,0.6776857551194044,0.8996874665481864,0.42290660582172473,0.5556781442534685,0.5407420173082427,0.19508841046793202,0.8094375374638941
critpt,Scientific-coding,i_date,gbm,0.45809698095715173,0.9590340366753223,0.2827891910217836,0.5672101116832265,0.7901471560379429,0.08539645277738428,0.9197462835017634
critpt,Scientific-coding,ii_meanidx,ridge,0.6763307492878183,0.6813817039434626,0.5095125788831223,0.5162162075466634,0.5425767175677783,0.5383149882379538,0.4642810264688966
critpt,Scientific-coding,ii_meanidx,elasticnet,0.6768724432766747,0.6816480686431363,0.5047595656365819,0.5109270236617643,0.5418436955326649,0.5379539552788923,0.4646440894849178
critpt,Scientific-coding,ii_meanidx,rf,0.1841933421623668,0.3530334252652223,0.11231626610766332,0.20977230234016217,0.9660728127030572,0.8760642804282905,0.12463259935449529
critpt,Scientific-coding,ii_meanidx,gbm,0.10802490301891277,0.3803362982723256,0.071789890640045,0.23007081252302872,0.9883306203277545,0.8561531386196669,0.14465569978349546
critpt,Scientific-coding,iii_f1,ridge,0.8191766217301624,0.8333504394628631,0.6016386626196383,0.6199603318662202,0.3289496624107586,0.3094101716487996,0.6944729549529471
critpt,Scientific-coding,iii_f1,elasticnet,0.8184479658497165,0.8299742592451801,0.6039641148765612,0.6194225473256451,0.33014292719646154,0.3149944556484313,0.6888572710095855
critpt,Scientific-coding,iii_f1,rf,0.6340702964499235,0.7859289971841557,0.39475380778010244,0.5076183255919631,0.5979548591599062,0.3857693768108277,0.6176843886148925
critpt,Scientific-coding,iii_f1,gbm,0.29904606200595524,1.0118133106179568,0.22302966234913538,0.5943661197237997,0.9105714527987304,-0.018041814872934214,1.0237661755436698
critpt,Scientific-coding,iv_kfac,ridge,0.561091195440341,0.5844512214713905,0.4199871703794686,0.4368323941994892,0.6851766703993291,0.6603267230438337,0.34158323027940035
critpt,Scientific-coding,iv_kfac,elasticnet,0.5625139714270766,0.5839530455017515,0.4148935505458698,0.431718735918963,0.6835780319493381,0.6609055393387286,0.3410011593507707
critpt,Scientific-coding,iv_kfac,rf,0.35753699180292237,0.6005885934365175,0.19479784988307114,0.3734434898953632,0.872167299492517,0.64131022288529,0.3607066585660545
critpt,Scientific-coding,iv_kfac,gbm,0.10008560481569216,0.5256575469516084,0.06880650000780383,0.3179389271861995,0.989982871708677,0.7252291559151745,0.27631585666718234
critpt,Scientific-coding,v_kfac_cov,ridge,0.5467263397430475,0.5823778048090653,0.39333105706687155,0.42845637713893686,0.7010903094311698,0.6627325182118102,0.3391639075342258
critpt,Scientific-coding,v_kfac_cov,elasticnet,0.5514079088286122,0.5867644292360388,0.39568289563543857,0.4263792202970283,0.6959493180812568,0.6576326066887217,0.3442924954166943
critpt,Scientific-coding,v_kfac_cov,rf,0.35379095852442416,0.6136013587337514,0.19394223611067507,0.38087210694011725,0.8748319576663692,0.6255985991068138,0.376506627439906
critpt,Scientific-coding,v_kfac_cov,gbm,0.09166384452346325,0.6041412478687734,0.057764598326654225,0.3533253961923429,0.9915977396071783,0.6370541655157003,0.3649866473764387
terminalbenchHard,Scientific-coding,i_date,ridge,0.7416524098706662,0.7556864049371586,0.5921051027223536,0.6000703645580877,0.44995170293303344,0.4368942552666777,0.5710619426068472
terminalbenchHard,Scientific-coding,i_date,elasticnet,0.7417026633855489,0.75491216427785,0.592145782868062,0.6002802217739882,0.44987715912678317,0.4380475273601454,0.5698923757746676
terminalbenchHard,Scientific-coding,i_date,rf,0.4994699474791455,0.718457059334241,0.390654774690739,0.545493750340221,0.7505297715651796,0.4910110284959732,0.5161805461072051
terminalbenchHard,Scientific-coding,i_date,gbm,0.39496317382476304,0.7463166774288503,0.3096676256814328,0.5608044739774685,0.8440040913222701,0.45077154080489057,0.5569885830084386
terminalbenchHard,Scientific-coding,ii_meanidx,ridge,0.27710180669442785,0.28022978440345137,0.21374710968694668,0.21517495349973412,0.9232145887266839,0.9225653526278054,0.07852873206680484
terminalbenchHard,Scientific-coding,ii_meanidx,elasticnet,0.2792653519689066,0.2822194667376374,0.21735885916563127,0.2183437760775974,0.9220108631896827,0.9214618488444045,0.07964782740567643
terminalbenchHard,Scientific-coding,ii_meanidx,rf,0.19726321487118326,0.2669892567577338,0.14696371467302247,0.20599675475431933,0.9610872240586854,0.9297098755319557,0.07128326322404709
terminalbenchHard,Scientific-coding,ii_meanidx,gbm,0.13228164088821143,0.2911931282645875,0.10107925734177252,0.22452852701758405,0.9825015674839223,0.916387928415376,0.0847934379485165
terminalbenchHard,Scientific-coding,iii_f1,ridge,0.9668300922797466,1.0068470169215085,0.8425308002999575,0.8628407301637296,0.0652395726623366,0.0003828121092043224,1.0137409154837405
terminalbenchHard,Scientific-coding,iii_f1,elasticnet,0.9688938787762369,1.0091223594767327,0.8424723524293586,0.8663833899449503,0.061244651669938754,-0.004140301119198053,1.018327936395888
terminalbenchHard,Scientific-coding,iii_f1,rf,0.7711206538105062,1.0388874210093255,0.6180464542377203,0.831032076628933,0.4053729372668575,-0.06425013816822345,1.0792870735314077
terminalbenchHard,Scientific-coding,iii_f1,gbm,0.5576167691763954,1.1172720411262542,0.44462200111609523,0.8929545380607001,0.6890635387332786,-0.23090518660850567,1.2482968138824264
terminalbenchHard,Scientific-coding,iv_kfac,ridge,0.24460997207122376,0.2695037018761161,0.18968918820561664,0.20124226024751893,0.9401659615633151,0.9283796878344841,0.07263224532493048
